ClubName,ClubNameShort,CountryName,LeagueName,ClubFMId
Fotbal Club FCSB,FCSB,Romania,Romanian First League,1513
FC CFR 1907 Cluj,CFR Cluj,Romania,Romanian First League,7540205
U Craiova 1948 CS,Universitatea Craiova,Romania,Romanian First League,57111101
Fotbal Club Viitorul Constanta,FC Viitorul,Romania,Romanian First League,57047936
AFC Astra Giurgiu,Astra Giurgiu,Romania,Romanian First League,57110823
FC Dinamo 1948 Bucuresti,Dinamo Bucuresti,Romania,Romanian First League,1500
CS Gaz Metan Medias,Gaz Metan Medias,Romania,Romanian First League,138153
AFC Botosani,FC Botosani,Romania,Romanian First League,7540447
ACS Sepsi OSK Sfantu Gheorghe,Sepsi OSK,Romania,Romanian First League,57110237
CSM Politehnica Iasi,CSM Poli Iasi,Romania,Romanian First League,57086204
AFC Hermannstadt Sibiu,FC Hermannstadt,Romania,Romanian First League,57143011
AFC Chindia Targoviste,Chindia Targoviste,Romania,Romanian First League,57066631
FC Voluntari,FC Voluntari,Romania,Romanian First League,57065222
AS FC Universitatea Cluj,U Cluj,Romania,Romanian Second League,1515
FC Academica Clinceni,Academica Clinceni,Romania,Romanian First League,57141886
CS Concordia Chiajna,Concordia Chiajna,Romania,Romanian Second League,57000252
AFC Dunarea 2005 Calarasi,Dunarea Calarasi,Romania,Romanian Second League,57000258
ACS Petrolul 52 Ploiesti,Petrolul Ploiesti,Romania,Romanian Second League,57151160
Fotbal Club Rapid 1923,FC Rapid,Romania,Romanian Second League,57171586
ACS Campionii FC Arges,FC Arges,Romania,Romanian Second League,1502
AFC UTA Arad,UTA Arad,Romania,Romanian Second League,57113687
ASSCS Farul Constanta,Farul Constanta,Romania,Romanian Second League,57150853
CS Mioveni,,Romania,Romanian Second League,57080206
CS Pandurii Lignitul Targu Jiu,Pandurii Targu Jiu,Romania,Romanian Second League,7540061
AFC Ripensia Timisoara,Ripensia,Romania,Romanian Second League,7546743
ASC Daco-Getica Bucuresti,Daco-Getica,Romania,Romanian Second League,7540450
SCM Gloria Buzau,Gloria Buzau,Romania,Romanian Second League,57174340
AFK Csikszereda Miercurea Ciuc,Csikszereda,Romania,Romanian Second League,57110301
ASU Politehnica Timisoara,ASU Politehnica,Romania,Romanian Second League,57099588
Clubul Sportiv Muncitoresc Resita,CSM Resita,Romania,Romanian Second League,57131211
AFC Turris-Oltul Turnu Magurele,Turris Turnu Magurele,Romania,Romanian Second League,57057253
ACS Viitorul Pandurii Targu Jiu,Viitorul Targu Jiu,Romania,Romanian Second League,57057268
CS Aerostar Bacau,Aerostar Bacau,Romania,Romanian Third League Group 1,7540445
FC Metaloglobus Bucuresti,Metaloglobus,Romania,Romanian Second League,57061123
ACS Dacia Unirea Braila,Dacia Unirea Braila,Romania,Romanian Third League Group 2,57139475
CS Luceafarul Oradea,Luceafarul Oradea,Romania,Romanian Third League Group 5,57044148
