ClubName,ClubNameShort,CountryName,LeagueName,ClubFMId
Fotbal Club FCSB,FCSB,Romania,Romanian First League,1513
FC CFR 1907 Cluj,CFR Cluj,Romania,Romanian First League,7540205
U Craiova 1948 CS,Universitatea Craiova,Romania,Romanian First League,57111101
Fotbal Club Viitorul Constanţa,FC Viitorul,Romania,Romanian First League,57047936
AFC Astra Giurgiu,Astra Giurgiu,Romania,Romanian First League,57110823
FC Dinamo 1948 Bucureşti,Dinamo Bucureşti,Romania,Romanian First League,1500
CS Gaz Metan Mediaş,Gaz Metan Mediaş,Romania,Romanian First League,138153
AFC Botoşani,FC Botoşani,Romania,Romanian First League,7540447
ACS Sepsi OSK Sfântu Gheorghe,Sepsi OSK,Romania,Romanian First League,57110237
CSM Politehnica Iaşi,CSM Poli Iaşi,Romania,Romanian First League,57086204
AFC Hermannstadt Sibiu,FC Hermannstadt,Romania,Romanian First League,57143011
AFC Chindia Târgovişte,Chindia Târgovişte,Romania,Romanian First League,57066631
FC Voluntari,FC Voluntari,Romania,Romanian First League,57065222
AS FC Universitatea Cluj,U Cluj,Romania,Romanian Second League,1515
FC Academica Clinceni,Academica Clinceni,Romania,Romanian First League,57141886
CS Concordia Chiajna,Concordia Chiajna,Romania,Romanian Second League,57000252
AFC Dunărea 2005 Călăraşi,Dunărea Călăraşi,Romania,Romanian Second League,57000258
ACS Petrolul 52 Ploieşti,Petrolul Ploieşti,Romania,Romanian Second League,57151160
Fotbal Club Rapid 1923,FC Rapid,Romania,Romanian Second League,57171586
ACS Campionii FC Argeş,FC Argeş,Romania,Romanian Second League,1502
AFC UTA Arad,UTA Arad,Romania,Romanian Second League,57113687
ASSCS Farul Constanţa,Farul Constanţa,Romania,Romanian Second League,57150853
CS Mioveni,,Romania,Romanian Second League,57080206
CS Pandurii Lignitul Târgu Jiu,Pandurii Târgu Jiu,Romania,Romanian Second League,7540061
AFC Ripensia Timişoara,Ripensia,Romania,Romanian Second League,7546743
ASC Daco-Getica Bucureşti,Daco-Getica,Romania,Romanian Second League,7540450
SCM Gloria Buzău,Gloria Buzău,Romania,Romanian Second League,57174340
AFK Csikszereda Miercurea Ciuc,Csikszereda,Romania,Romanian Second League,57110301
ASU Politehnica Timişoara,ASU Politehnica,Romania,Romanian Second League,57099588
Clubul Sportiv Muncitoresc Reşiţa,CSM Reşiţa,Romania,Romanian Second League,57131211
AFC Turris-Oltul Turnu Măgurele,Turris Turnu Măgurele,Romania,Romanian Second League,57057253
ACS Viitorul Pandurii Târgu Jiu,Viitorul Târgu Jiu,Romania,Romanian Second League,57057268
CS Aerostar Bacău,Aerostar Bacău,Romania,Romanian Third League Group 1,7540445
FC Metaloglobus Bucureşti,Metaloglobus,Romania,Romanian Second League,57061123
ACS Dacia Unirea Brăila,Dacia Unirea Brăila,Romania,Romanian Third League Group 2,57139475
